1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 1.000 DT = 0.200 and VX = 1.000

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
    3   2.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00001
    4   3.50000   0.00000   0.00000   0.00000   0.00000   0.00011   0.00002
    5   4.50000   0.00000   0.00000   0.00001   0.00000   0.00044   0.00007
    6   5.50000   0.00003   0.00000   0.00003   0.00000   0.00058   0.00023
    7   6.50000   0.00005   0.00000   0.00005   0.00000   0.00056   0.00071
    8   7.50000   0.00104   0.00000   0.00091   0.00000   0.00087   0.00200
    9   8.50000   0.09073   0.00000   0.00172   0.00000   0.00117   0.00520
   10   9.50000   0.37464   0.00000   0.09605   0.00000   0.02875   0.01247
   11  10.50000   0.67378   1.00000   0.27623   0.29436   0.05831   0.02761
   12  11.50000   0.88172   1.00000   0.46699   0.52389   0.06740   0.05645
   13  12.50000   0.97825   1.00000   0.62571   0.65999   0.06806   0.10661
   14  13.50000   0.99975   1.00000   0.74526   0.75898   0.11953   0.18595
   15  14.50000   1.00000   1.00000   0.83556   0.83445   0.26994   0.29957
   16  15.50000   1.00000   1.00000   0.90489   0.89244   0.48944   0.44574
   17  16.50000   1.00000   1.00000   0.95327   0.93624   0.70131   0.61256
   18  17.50000   1.00000   1.00000   0.97790   0.96779   0.83922   0.77750
   19  18.50000   1.00000   1.00000   0.98314   0.98826   0.88930   0.91145
   20  19.50000   1.00000   1.00000   0.98315   0.99833   0.89240   0.98685
   21  20.50000   1.00000   1.00000   0.98315   0.99834   0.89240   0.98686
   22  21.50000   1.00000   1.00000   0.97545   0.98826   0.89240   0.91148
   23  22.50000   1.00000   1.00000   0.94349   0.96779   0.82723   0.77754
   24  23.50000   1.00000   1.00000   0.92417   0.93625   0.65606   0.61260
   25  24.50000   1.00000   1.00000   0.92200   0.89245   0.46873   0.44578
   26  25.50000   0.99997   1.00000   0.91027   0.83446   0.30792   0.29961
   27  26.50000   0.99995   1.00000   0.82153   0.75900   0.18765   0.18598
   28  27.50000   0.99896   1.00000   0.64204   0.66002   0.10607   0.10662
   29  28.50000   0.90927   1.00000   0.41915   0.52393   0.05526   0.05646
   30  29.50000   0.62536   1.00000   0.21818   0.29445   0.02617   0.02761
   31  30.50000   0.32621   0.00000   0.08212   0.00000   0.01084   0.01247
   32  31.50000   0.11828   0.00000   0.01687   0.00000   0.00351   0.00520
   33  32.50000   0.02175   0.00000   0.00039   0.00000   0.00062   0.00200
   34  33.50000   0.00025   0.00000   0.00000   0.00000   0.00001   0.00071
   35  34.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00023
   36  35.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00007
   37  36.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00002
   38  37.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00001
   39  38.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   40  39.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   41  40.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   42  41.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   43  42.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   44  43.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   45  44.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   46  45.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   47  46.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   48  47.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   49  48.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   50  49.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000

 Conserved sums  20.00000  20.00000  15.70968  15.70969   8.86227   8.86227
 Absolute error   0.09330             0.05178             0.08553
1
    LCPFCT Test #1 - Constant V Convection:   step = 375 and TIME = 75.000
          with DX = 1.000 DT = 0.200 and VX = 1.000

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
    1   0.50000   0.99999   1.00000   0.91781   0.83446   0.31471   0.29959
    2   1.50000   0.99961   1.00000   0.80959   0.75899   0.19051   0.18597
    3   2.50000   0.99701   1.00000   0.62410   0.66000   0.10662   0.10662
    4   3.50000   0.88778   1.00000   0.40843   0.52391   0.05479   0.05645
    5   4.50000   0.61486   1.00000   0.21757   0.29440   0.02505   0.02761
    6   5.50000   0.33531   0.00000   0.08651   0.00000   0.00933   0.01247
    7   6.50000   0.13338   0.00000   0.02036   0.00000   0.00223   0.00520
    8   7.50000   0.03073   0.00000   0.00098   0.00000   0.00013   0.00200
    9   8.50000   0.00135   0.00000   0.00000   0.00000   0.00000   0.00071
   10   9.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00023
   11  10.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00007
   12  11.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00002
   13  12.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00001
   14  13.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   15  14.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   16  15.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   17  16.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   18  17.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   19  18.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   20  19.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   21  20.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   22  21.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   23  22.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   24  23.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   25  24.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   26  25.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   27  26.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   28  27.50000   0.00000   0.00000   0.00000   0.00000   0.00009   0.00001
   29  28.50000   0.00000   0.00000   0.00000   0.00000   0.00020   0.00002
   30  29.50000   0.00000   0.00000   0.00000   0.00000   0.00025   0.00007
   31  30.50000   0.00001   0.00000   0.00004   0.00000   0.00025   0.00023
   32  31.50000   0.00039   0.00000   0.00004   0.00000   0.00039   0.00071
   33  32.50000   0.00299   0.00000   0.00074   0.00000   0.00047   0.00200
   34  33.50000   0.11222   0.00000   0.00663   0.00000   0.01465   0.00520
