1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 0.100 DT = 0.020 and VX = 0.500CFL = 0.100

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
   82   8.15000   1.00000   1.00000   0.92901   0.92901   0.57834   0.57834
   83   8.25000   1.00000   1.00000   0.93673   0.93673   0.61262   0.61262
   84   8.35000   1.00000   1.00000   0.94396   0.94396   0.64687   0.64687
   85   8.45000   1.00000   1.00000   0.95072   0.95072   0.68084   0.68084
   86   8.55000   1.00000   1.00000   0.95701   0.95701   0.71431   0.71431
   87   8.65000   1.00000   1.00000   0.96284   0.96284   0.74703   0.74703
   88   8.75000   1.00000   1.00000   0.96823   0.96823   0.77875   0.77875
   89   8.85000   1.00000   1.00000   0.97317   0.97317   0.80923   0.80923
   90   8.95000   1.00000   1.00000   0.97768   0.97768   0.83821   0.83821
   91   9.05000   1.00000   1.00000   0.98177   0.98177   0.86546   0.86546
   92   9.15000   1.00000   1.00000   0.98543   0.98543   0.89074   0.89074
   93   9.25000   1.00000   1.00000   0.98867   0.98867   0.91383   0.91383
   94   9.35000   1.00000   1.00000   0.99150   0.99150   0.93453   0.93453
   95   9.45000   1.00000   1.00000   0.99391   0.99391   0.95264   0.95264
   96   9.55000   1.00000   1.00000   0.99593   0.99593   0.96800   0.96800
   97   9.65000   1.00000   1.00000   0.99753   0.99753   0.98047   0.98047
   98   9.75000   1.00000   1.00000   0.99873   0.99873   0.98992   0.98992
   99   9.85000   1.00000   1.00000   0.99953   0.99953   0.99628   0.99628
  100   9.95000   1.00000   1.00000   0.99993   0.99993   0.99947   0.99947

 Conserved sums  10.00000  10.00000   7.85406   7.85406   4.41041   4.41041
 Absolute error   0.00000             0.00000             0.00000
1
    LCPFCT Test #1 - Constant V Convection:   step =  50 and TIME =  1.000
          with DX = 0.100 DT = 0.020 and VX = 0.500CFL = 0.100

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
    1   0.05000   1.00000   1.00000   0.99579   0.99593   0.96691   0.96800
    2   0.15000   1.00000   1.00000   0.99754   0.99753   0.98058   0.98047
    3   0.25000   1.00000   1.00000   0.99899   0.99873   0.99199   0.98992
    4   0.35000   1.00000   1.00000   0.99962   0.99953   0.99698   0.99628
    5   0.45000   1.00000   1.00000   0.99966   0.99993   0.99727   0.99947
    6   0.55000   1.00000   1.00000   0.99966   0.99993   0.99727   0.99947
    7   0.65000   1.00000   1.00000   0.99964   0.99953   0.99710   0.99628
    8   0.75000   1.00000   1.00000   0.99887   0.99873   0.99099   0.98992
    9   0.85000   1.00000   1.00000   0.99757   0.99753   0.98079   0.98047
   10   0.95000   1.00000   1.00000   0.99593   0.99593   0.96801   0.96800
   11   1.05000   1.00000   1.00000   0.99391   0.99391   0.95262   0.95264
   12   1.15000   1.00000   1.00000   0.99150   0.99150   0.93453   0.93453
   13   1.25000   1.00000   1.00000   0.98867   0.98867   0.91384   0.91383
   14   1.35000   1.00000   1.00000   0.98543   0.98543   0.89075   0.89074
   15   1.45000   1.00000   1.00000   0.98177   0.98177   0.86547   0.86546
   16   1.55000   1.00000   1.00000   0.97769   0.97768   0.83822   0.83821
   17   1.65000   1.00000   1.00000   0.97317   0.97317   0.80923   0.80923
   18   1.75000   1.00000   1.00000   0.96823   0.96823   0.77876   0.77875
   19   1.85000   1.00000   1.00000   0.96284   0.96284   0.74703   0.74703
   20   1.95000   1.00000   1.00000   0.95701   0.95701   0.71431   0.71431
   21   2.05000   1.00000   1.00000   0.95072   0.95072   0.68084   0.68084
   22   2.15000   1.00000   1.00000   0.94396   0.94396   0.64687   0.64687
   23   2.25000   1.00000   1.00000   0.93673   0.93673   0.61263   0.61262
   24   2.35000   1.00000   1.00000   0.92901   0.92901   0.57835   0.57834
   25   2.45000   1.00000   1.00000   0.92079   0.92079   0.54424   0.54424
   26   2.55000   1.00000   1.00000   0.91206   0.91206   0.51051   0.51051
   27   2.65000   1.00000   1.00000   0.90281   0.90281   0.47734   0.47733
   28   2.75000   1.00000   1.00000   0.89300   0.89301   0.44490   0.44489
   29   2.85000   1.00000   1.00000   0.88264   0.88264   0.41334   0.41333
   30   2.95000   1.00000   1.00000   0.87170   0.87170   0.38279   0.38279
   31   3.05000   1.00000   1.00000   0.86015   0.86015   0.35336   0.35336
   32   3.15000   1.00000   1.00000   0.84797   0.84797   0.32516   0.32516
   33   3.25000   1.00000   1.00000   0.83514   0.83514   0.29825   0.29825
   34   3.35000   1.00000   1.00000   0.82161   0.82161   0.27270   0.27270
   35   3.45000   1.00000   1.00000   0.80737   0.80737   0.24854   0.24854
   36   3.55000   1.00000   1.00000   0.79236   0.79237   0.22579   0.22579
   37   3.65000   1.00000   1.00000   0.77658   0.77656   0.20447   0.20447
   38   3.75000   1.00000   1.00000   0.75983   0.75990   0.18458   0.18458
   39   3.85000   1.00000   1.00000   0.74253   0.74232   0.16609   0.16608
   40   3.95000   1.00000   1.00000   0.72318   0.72377   0.14896   0.14897
   41   4.05000   1.00000   1.00000   0.70559   0.70415   0.13321   0.13319
   42   4.15000   1.00000   1.00000   0.68028   0.68340   0.11863   0.11870
   43   4.25000   1.00000   1.00000   0.66716   0.66138   0.10559   0.10545
   44   4.35000   1.00000   1.00000   0.62922   0.63798   0.09314   0.09338
   45   4.45000   1.00000   1.00000   0.62275   0.61304   0.08273   0.08242
   46   4.55000   1.00000   1.00000   0.58122   0.58635   0.07231   0.07252
   47   4.65000   1.00000   1.00000   0.55147   0.55767   0.06349   0.06361
   48   4.75000   1.00000   1.00000   0.54325   0.52667   0.05613   0.05561
   49   4.85000   1.00000   1.00000   0.48227   0.49291   0.04801   0.04846
   50   4.95000   1.00000   1.00000   0.44081   0.45579   0.04171   0.04210
   51   5.05000   1.00000   1.00000   0.44049   0.41438   0.03745   0.03646
   52   5.15000   1.00000   1.00000   0.37940   0.36723   0.03167   0.03147
   53   5.25000   1.00000   1.00000   0.26572   0.31170   0.02530   0.02707
   54   5.35000   1.00000   1.00000   0.20335   0.24193   0.02220   0.02322
   55   5.45000   1.00000   1.00000   0.19924   0.13328   0.02201   0.01985
   56   5.55000   1.00000   1.00000   0.19924   0.13328   0.02201   0.01985
   57   5.65000   1.00000   1.00000   0.20589   0.24193   0.02223   0.02322
   58   5.75000   1.00000   1.00000   0.28316   0.31170   0.02608   0.02707
   59   5.85000   1.00000   1.00000   0.36047   0.36723   0.03120   0.03147
   60   5.95000   1.00000   1.00000   0.41491   0.41438   0.03646   0.03646
   61   6.05000   1.00000   1.00000   0.45650   0.45579   0.04212   0.04210
   62   6.15000   1.00000   1.00000   0.49308   0.49291   0.04847   0.04846
   63   6.25000   1.00000   1.00000   0.52668   0.52667   0.05561   0.05561
   64   6.35000   1.00000   1.00000   0.55767   0.55767   0.06361   0.06361
   65   6.45000   1.00000   1.00000   0.58636   0.58635   0.07252   0.07252
   66   6.55000   1.00000   1.00000   0.61304   0.61304   0.08243   0.08242
   67   6.65000   1.00000   1.00000   0.63798   0.63798   0.09338   0.09338
   68   6.75000   1.00000   1.00000   0.66138   0.66138   0.10545   0.10545
   69   6.85000   1.00000   1.00000   0.68340   0.68340   0.11870   0.11870
   70   6.95000   1.00000   1.00000   0.70416   0.70415   0.13319   0.13319
   71   7.05000   1.00000   1.00000   0.72377   0.72377   0.14897   0.14897
   72   7.15000   1.00000   1.00000   0.74232   0.74232   0.16608   0.16608
   73   7.25000   1.00000   1.00000   0.75990   0.75990   0.18458   0.18458
   74   7.35000   1.00000   1.00000   0.77656   0.77656   0.20447   0.20447
   75   7.45000   1.00000   1.00000   0.79237   0.79237   0.22579   0.22579
   76   7.55000   1.00000   1.00000   0.80737   0.80737   0.24854   0.24854
   77   7.65000   1.00000   1.00000   0.82162   0.82161   0.27270   0.27270
   78   7.75000   1.00000   1.00000   0.83514   0.83514   0.29825   0.29825
   79   7.85000   1.00000   1.00000   0.84797   0.84797   0.32516   0.32516
   80   7.95000   1.00000   1.00000   0.86015   0.86015   0.35336   0.35336
   81   8.05000   1.00000   1.00000   0.87170   0.87170   0.38278   0.38279
   82   8.15000   1.00000   1.00000   0.88264   0.88264   0.41333   0.41333
   83   8.25000   1.00000   1.00000   0.89301   0.89301   0.44489   0.44489
